age,gender,hours_spent,platform,interests,location,demographics,profession,income,indebt,home_owner,car_owner,status
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,1,0,0,normic
46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,1,1,1,normic
32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,0,0,0,normic
60,non-binary,5,Instagram,Travel,United Kingdom,Urban,Student,12500,0,1,0,normic
25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,0,1,1,normic
38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,1,1,1,normic
56,male,8,YouTube,Sports,United States,Urban,Student,16881,1,1,1,normic
36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,1,0,1,normic
40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16030,0,0,1,normic
28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10223,1,0,1,normic
28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,1,1,0,normic
41,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,10350,0,0,0,normic
53,non-binary,5,Facebook,Sports,Australia,Rural,Student,17314,0,1,1,chad
57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,0,1,0,normic
41,non-binary,9,YouTube,Travel,United States,Rural,Student,17743,1,1,0,normic
20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,1,1,0,normic
39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,1,1,0,normic
19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,0,1,1,normic
41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,0,0,0,normic
61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,0,0,0,normic
47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,0,0,1,normic
55,non-binary,7,YouTube,Travel,Australia,Urban,Student,16207,1,0,1,normic
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,1,1,1,normic
38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,1,1,1,normic
50,non-binary,9,Instagram,Sports,United Kingdom,Rural,Software Engineer,11893,1,0,0,loser
29,non-binary,9,Facebook,Travel,Australia,Rural,Student,15322,1,0,1,normic
39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,1,0,0,normic
61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,1,0,0,normic
42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,1,0,1,normic
44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,Software Engineer,13117,0,0,1,normic
59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,0,0,1,normic
45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,1,0,1,normic
33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,0,1,1,normic
32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,1,1,1,normic
64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,12658,1,1,0,normic
61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,0,1,0,normic
20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,1,0,0,loser
54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,1,1,0,normic
24,non-binary,1,Instagram,Lifestlye,United States,Rural,Software Engineer,17653,1,0,1,normic
38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18787,1,1,1,normic
26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,1,0,0,loser
56,female,8,Instagram,Sports,Australia,Urban,Software Engineer,11074,1,0,0,loser
35,female,1,Instagram,Lifestlye,Australia,Urban,Marketer Manager,14305,1,1,0,normic
21,male,9,Instagram,Travel,United States,Rural,Marketer Manager,13007,0,1,1,normic
42,male,6,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,10969,0,0,1,normic
31,female,4,Instagram,Travel,United Kingdom,Urban,Student,18772,1,0,1,normic
26,male,9,Facebook,Travel,Australia,Rural,Software Engineer,12824,0,0,0,normic
43,female,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,11211,1,1,0,normic
19,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10229,1,1,1,normic
37,female,5,YouTube,Lifestlye,United States,Rural,Student,14284,1,0,1,normic
45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,13185,1,1,0,normic
64,male,1,Facebook,Travel,United States,Urban,Marketer Manager,10501,0,0,0,normic
24,female,8,Facebook,Sports,United States,Sub_Urban,Software Engineer,10048,0,1,1,normic
61,male,8,YouTube,Travel,United States,Sub_Urban,Software Engineer,13566,0,1,0,normic
25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,13055,0,1,1,normic
64,non-binary,4,Instagram,Lifestlye,United States,Rural,Marketer Manager,18880,1,1,1,normic
52,non-binary,2,YouTube,Travel,United Kingdom,Urban,Software Engineer,10386,0,1,0,normic
31,male,2,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,10969,1,0,0,loser
34,male,9,Instagram,Travel,United States,Rural,Marketer Manager,19197,1,0,0,normic
53,male,5,Facebook,Sports,United States,Sub_Urban,Software Engineer,15820,0,1,1,chad
57,male,4,Instagram,Travel,United Kingdom,Urban,Software Engineer,13052,1,0,0,loser
21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,17397,0,0,0,normic
19,non-binary,7,Facebook,Sports,Australia,Urban,Software Engineer,12302,0,1,1,normic
23,female,3,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,12283,0,0,1,normic
59,female,6,Instagram,Lifestlye,Australia,Sub_Urban,Student,19799,0,1,0,normic
21,male,5,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,14366,0,0,1,normic
46,non-binary,5,YouTube,Travel,United States,Urban,Student,10122,1,0,1,normic
35,non-binary,5,YouTube,Travel,Australia,Rural,Student,16799,0,0,1,normic
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,19472,0,0,0,normic
61,female,1,Instagram,Travel,Australia,Sub_Urban,Software Engineer,13727,1,0,0,loser
51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,18450,0,0,1,normic
27,non-binary,4,Facebook,Travel,United States,Rural,Student,19139,0,0,1,normic
53,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,14958,1,1,1,normic
31,non-binary,2,Facebook,Sports,Australia,Urban,Student,10524,1,1,0,normic
48,female,8,YouTube,Lifestlye,Australia,Urban,Software Engineer,19079,0,1,1,chad
32,non-binary,2,YouTube,Travel,United States,Sub_Urban,Student,18399,1,1,1,normic
25,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10148,0,0,0,normic
31,male,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,18001,1,0,1,normic
40,male,9,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,10437,0,0,0,normic
57,female,7,Facebook,Lifestlye,United States,Sub_Urban,Software Engineer,13749,0,1,0,normic
38,non-binary,8,Facebook,Sports,United Kingdom,Urban,Marketer Manager,18186,0,1,0,normic
33,non-binary,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,14453,1,1,1,normic
62,male,7,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,15336,0,0,1,normic
35,female,6,Facebook,Sports,United States,Sub_Urban,Software Engineer,14551,1,1,0,normic
64,male,4,Instagram,Travel,United Kingdom,Urban,Marketer Manager,12823,0,0,1,normic
41,male,7,Instagram,Sports,United Kingdom,Urban,Software Engineer,15728,0,1,0,normic
43,male,4,Facebook,Sports,Australia,Rural,Student,18677,0,0,1,normic
42,male,2,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,18391,0,1,0,normic
62,non-binary,7,YouTube,Sports,Australia,Rural,Software Engineer,11982,0,0,0,normic
58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16996,1,1,1,normic
46,male,2,Facebook,Sports,United States,Rural,Student,19663,1,1,1,normic
32,female,5,Instagram,Sports,Australia,Rural,Software Engineer,12311,1,0,1,normic
62,female,1,Instagram,Lifestlye,Australia,Rural,Software Engineer,17225,0,0,1,normic
18,female,7,Instagram,Travel,United States,Sub_Urban,Software Engineer,19713,0,1,0,normic
42,female,8,Instagram,Lifestlye,Australia,Urban,Student,10604,1,0,0,normic
24,male,6,Instagram,Lifestlye,United States,Sub_Urban,Student,18175,0,1,1,chad
26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban,Student,15785,0,0,1,normic
41,female,6,Facebook,Travel,United States,Rural,Software Engineer,19609,0,1,0,normic
18,male,2,YouTube,Sports,Australia,Rural,Student,14597,1,0,1,normic
61,female,1,Instagram,Lifestlye,United States,Rural,Marketer Manager,17759,1,1,1,normic
25,female,7,Instagram,Lifestlye,Australia,Rural,Student,17532,1,1,1,normic
41,male,7,Instagram,Travel,United Kingdom,Rural,Software Engineer,18740,1,1,1,normic
28,non-binary,2,Instagram,Lifestlye,United States,Urban,Marketer Manager,10838,1,0,0,loser
34,non-binary,2,Facebook,Sports,United Kingdom,Urban,Student,13815,0,1,0,normic
25,male,1,Instagram,Travel,Australia,Rural,Marketer Manager,10847,0,0,1,normic
52,non-binary,8,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14709,0,0,0,normic
